Category,ITM ID,Source ID,Match Score,Match Type,Mark As,ITM Business name,ITM Address -1,ITM City,ITM State,ITM Zip,Source Business name,Source Address -1,Source City,Source State,Source Zip,ITM concat addr,Source concat addr,ITM lat,ITM long,Source lat,Source long,Distance (in km),Distance Flag
,4265727,957581,80%,Moderate,,CANCER CENTER OF KANSAS                 ,600 S SANTA FE AVE STE E                ,SALINA                   ,KS,67401,Central Care Cancer Center,2337 E Crawford St,Salina,KS,67401,"600 S SANTA FE AVE STE E                ,SALINA                   ,KS,67401","2337 E CRAWFORD ST,SALINA,KS,67401",,,38.8272209257553,-97.5719486096212,,0
,34323182,969264,80%,Moderate,,GEORGIA CANCER SPECIALISTS-OCONE        ,1000 COWLES CLINC WAY STE M-200         ,GREENSBORO               ,GA,30642,Athens Orthopedic Clinic,"1000 Cowles Clinc Way, Suite C200A",Greensboro,GA,30642,"1000 COWLES CLINC WAY STE M-200         ,GREENSBORO               ,GA,30642","1000 COWLES CLINC WAY, SUITE C200A,GREENSBORO,GA,30642",,,,,,0
,15482490,3495,80%,Moderate,,WALGREENS                               ,1 MEDICAL CENTER BLVD                   ,CHESTER                  ,PA,19013,Crozer-Chester Medical Center,1 Medical Center Blvd,Chester,PA,19013,"1 MEDICAL CENTER BLVD                   ,CHESTER                  ,PA,19013","1 MEDICAL CENTER BLVD,CHESTER,PA,19013",39.85541155,-75.3682502101832,39.85541155,-75.3682502101832,0.0,1
,12474466,592031,80%,Moderate,,PROF OFFICE BLDG INFUSION PHARMACY      ,1725 W HARRISON ST STE 1059             ,CHICAGO                  ,IL,60612,Gordon H Derman MD SC,"1725 W Harrison St, Ste 740",Chicago,IL,60612,"1725 W HARRISON ST STE 1059             ,CHICAGO                  ,IL,60612","1725 W HARRISON ST, STE 740,CHICAGO,IL,60612",41.874123,-87.670235,,,,0
,35100393,4555,80%,Moderate,,WALGREEN CO                             ,900 ILLINOIS AVE                        ,STEVENS POINT            ,WI,54481,Ascension St Michaels Hospital,900 Illinois Ave,Stevens Point,WI,54481,"900 ILLINOIS AVE                        ,STEVENS POINT            ,WI,54481","900 ILLINOIS AVE,STEVENS POINT,WI,54481",44.52691005,-89.5670698754978,44.52691005,-89.5670698754978,0.0,1
,13131363,5783,80%,Moderate,,WALGREENS #13974                        ,225 E CHICAGO AVE                       ,CHICAGO                  ,IL,60611,Ann & Robert H Lurie Childrens Hospital of Chicago,225 E Chicago Ave,Chicago,IL,60611,"225 E CHICAGO AVE                       ,CHICAGO                  ,IL,60611","225 E CHICAGO AVE,CHICAGO,IL,60611",41.89624405,-87.62183140068909,41.89624405,-87.62183140068909,0.0,1
,8965458,585559,80%,Moderate,,ASCENSION SETON CENTRAL OUTPATIENT PHARM,1500 RED RIVER ST STE 14052             ,AUSTIN                   ,TX,78701,Dell Seton Medical Center at the University of Texas,1500 Red River St,Austin,TX,78701,"1500 RED RIVER ST STE 14052             ,AUSTIN                   ,TX,78701","1500 RED RIVER ST,AUSTIN,TX,78701",,,30.27658895,-97.73451566792801,,0
,4348272,617648,80%,Moderate,,HIGHLANDS ONCOLOGY GROUP                ,808 S 52ND ST                           ,ROGERS                   ,AR,72758,Hull Dermatology PA,500 S 52nd St,Rogers,AR,72758,"808 S 52ND ST                           ,ROGERS                   ,AR,72758","500 S 52ND ST,ROGERS,AR,72758",36.324689,-94.18669279999999,36.3301342,-94.1875815,0.37946520971603065,0
,1877794,952,80%,Moderate,,WIGGINS FAMILY MED CTR 50100            ,1128 S PARK ST                          ,CARROLLTON               ,GA,30117,Tanner Medical Center - Carrollton,705 Dixie St,Carrollton,GA,30117,"1128 S PARK ST                          ,CARROLLTON               ,GA,30117","705 DIXIE ST,CARROLLTON,GA,30117",33.55943565,-85.0717896208219,33.569728399999995,-85.07421665002559,0.7247575196115759,0
,19289897,666947,80%,Moderate,,BAYSTATE MEDICAL CENTER                 ,3300 MAIN ST                            ,SPRINGFIELD              ,MA,01107,New England Dermatology & Laser Center,3455 Main St,Springfield,MA,01107,"3300 MAIN ST                            ,SPRINGFIELD              ,MA,01107","3455 MAIN ST,SPRINGFIELD,MA,01107",42.123165,-72.609741,42.1244877,-72.60951477819259,0.09212208045714337,1
,29388848,609802,80%,Moderate,,CHARLES RIVER ONCOLOGY                  ,67 UNION ST STE 206                     ,NATICK                   ,MA,01760,MetroWest Urology,"67 Union St, Ste 308",Natick,MA,01760,"67 UNION ST STE 206                     ,NATICK                   ,MA,01760","67 UNION ST, STE 308,NATICK,MA,01760",42.280346,-71.33233,42.280346,-71.33233,0.0,1
,8834796,678996,80%,Moderate,,BIRMINGHAM HEM/ONC ASSOC LLC-ST         ,2728 10TH AVE S STE 200                 ,BIRMINGHAM               ,AL,35205,St Vincents Orthopedics PC,"2700 10th Ave S, Suite 200-201",Birmingham,AL,35205,"2728 10TH AVE S STE 200                 ,BIRMINGHAM               ,AL,35205","2700 10TH AVE S, SUITE 200-201,BIRMINGHAM,AL,35205",,,,,,0
,35821282,756,80%,Moderate,,"SHANDS TEACHING HOSPITAL & CLINICS, INC ",1515 SW ARCHER RD RM 1010               ,GAINESVILLE              ,FL,32608,UF Health Shands Hospital (FKA Shands at the University of Florida),1600 Sw Archer Rd,Gainesville,FL,32608,"1515 SW ARCHER RD RM 1010               ,GAINESVILLE              ,FL,32608","1600 SW ARCHER RD,GAINESVILLE,FL,32608",,,,,,0
,38919913,741888,80%,Moderate,,REDIMEDS PHARMACY LLC                   ,3466 MCCULLOUGH BLVD STE D2             ,BELDEN                   ,MS,38826,Express Care West LLC,"2885 McCullough Blvd, Ste A",Belden,MS,38826,"3466 MCCULLOUGH BLVD STE D2             ,BELDEN                   ,MS,38826","2885 MCCULLOUGH BLVD, STE A,BELDEN,MS,38826",34.304195,-88.779205,34.29803,-88.77232,0.5795447578463822,0
,33399211,3207,80%,Moderate,,MIAMI VALLEY HOSPITAL SOUTH             ,2400 MIAMI VALLEY DR                    ,DAYTON                   ,OH,45459,Miami Valley Hospital,1 Wyoming St,Dayton,OH,45409,"2400 MIAMI VALLEY DR                    ,DAYTON                   ,OH,45459","1 WYOMING ST,DAYTON,OH,45409",,,39.74524605,-84.18604426125279,,0
,35096517,1024,80%,Moderate,,JONES MED EQUIP/HINESVILL               ,481 E G MILES PKWY STE B                ,HINESVILLE               ,GA,31313,Liberty Regional Medical Center,462 E G Miles Pkwy,Hinesville,GA,31313,"481 E G MILES PKWY STE B                ,HINESVILLE               ,GA,31313","462 E G MILES PKWY,HINESVILLE,GA,31313",,,,,,0
,38716740,2592,80%,Moderate,,CENTRX PHY SUMMERLIN EMP                ,653 N TOWN CENTER DR STE 100            ,LAS VEGAS                ,NV,89144,Summerlin Hospital Medical Center,657 N Town Center Dr,Las Vegas,NV,89144,"653 N TOWN CENTER DR STE 100            ,LAS VEGAS                ,NV,89144","657 N TOWN CENTER DR,LAS VEGAS,NV,89144",,,36.181191299999995,-115.31693839255699,,0
,6551,6017,80%,Moderate,,BAYLOR SCOTT & WHITE MCLANE             ,1901 SW H K DODGEN LOOP                 ,TEMPLE                   ,TX,76502,Baylor Scott & White Continuing Care Hospital - Temple,546 N Kegley Rd,Temple,TX,76502,"1901 SW H K DODGEN LOOP                 ,TEMPLE                   ,TX,76502","546 N KEGLEY RD,TEMPLE,TX,76502",31.074732,-97.37552600000001,31.118528499999996,-97.3974632291667,3.292643389749454,0
,38651768,553232,80%,Moderate,,AMBULATORY CARE PHARMACY                ,200 HAWKINS DR                          ,IOWA CITY                ,IA,52242,University of Iowa Stead Family Childrens Hospital,200 Hawkins Dr,Iowa City,IA,52242,"200 HAWKINS DR                          ,IOWA CITY                ,IA,52242","200 HAWKINS DR,IOWA CITY,IA,52242",41.65868815,-91.5492705899793,41.65868815,-91.5492705899793,0.0,1
,2000535,1000059,80%,Moderate,,ALLIANCE CANCER SPECIALISTS PC          ,915 LAWN AVE STE 202                    ,SELLERSVILLE             ,PA,18960,Grand View Surgical Associates,"915 Lawn Ave, Suite 203",Sellersville,PA,18960,"915 LAWN AVE STE 202                    ,SELLERSVILLE             ,PA,18960","915 LAWN AVE, SUITE 203,SELLERSVILLE,PA,18960",40.364906,-75.327995,40.364906,-75.327995,0.0,1
,10198190,4285,80%,Moderate,,ONC/HEM OF LOUDOUN AND RESTON           ,44055 RIVERSIDE PKWY STE 224            ,LEESBURG                 ,VA,20176,Inova Loudoun Hospital,44045 Riverside Pkwy,Leesburg,VA,20176,"44055 RIVERSIDE PKWY STE 224            ,LEESBURG                 ,VA,20176","44045 RIVERSIDE PKWY,LEESBURG,VA,20176",39.077057,-77.477905,39.0771,-77.47814,0.012950114737017121,1
,1905108,629039,80%,Moderate,,SOUTH TEXAS VALLEY PHARMACY LLC         ,2717 MICHAELANGELO DR STE 200           ,EDINBURG                 ,TX,78539,Mcallen Oncology PA,"2717 Michaelangelo Dr, Ste 200",Edinburg,TX,78539,"2717 MICHAELANGELO DR STE 200           ,EDINBURG                 ,TX,78539","2717 MICHAELANGELO DR, STE 200,EDINBURG,TX,78539",,,,,,0
,9529841,581763,80%,Moderate,,HEALTH CARE DISTRICT OF PALM BEACH COUNT,1150 45TH ST                            ,WEST PALM BEACH          ,FL,33407,Palm Beach Childrens Hospital at St Marys Medical Center,901 45th St,West Palm Beach,FL,33407,"1150 45TH ST                            ,WEST PALM BEACH          ,FL,33407","901 45TH ST,WEST PALM BEACH,FL,33407",26.753038399999998,-80.0602504,26.753202,-80.062815,0.15863181079477318,1
,8972671,4446,80%,Moderate,,HEALTHSOUTH HILLS REHAB HOSP            ,120 12TH STREET EXT                     ,PRINCETON                ,WV,24740,Princeton Community Hospital,122 12th St,Princeton,WV,24740,"120 12TH STREET EXT                     ,PRINCETON                ,WV,24740","122 12TH ST,PRINCETON,WV,24740",37.363224,-81.110725,37.363216,-81.11075,0.0014799863229031493,1
,17518886,553268,80%,Moderate,,PRONGER SMITH MEDICAL CARE              ,17495 LA GRANGE RD STE 1                ,TINLEY PARK              ,IL,60487,Alpha Med Physicians Group,"17333 La Grange Rd, Suite 100",Tinley Park,IL,60487,"17495 LA GRANGE RD STE 1                ,TINLEY PARK              ,IL,60487","17333 LA GRANGE RD, SUITE 100,TINLEY PARK,IL,60487",,,,,,0
,37022531,729636,80%,Moderate,,RED ROCKS SURGERY CENTER #712           ,400 INDIANA ST STE 100                  ,GOLDEN                   ,CO,80401,Mountain Blue Cancer Care Center PC,"400 Indiana St, Ste 270",Golden,CO,80401,"400 INDIANA ST STE 100                  ,GOLDEN                   ,CO,80401","400 INDIANA ST, STE 270,GOLDEN,CO,80401",39.72606,-105.16545,39.72606,-105.16545,0.0,1
,9017202,4147,80%,Moderate,,JPS OUTPATIENT PHARMACY                 ,1500 S MAIN ST STE OPC 1                ,FORT WORTH               ,TX,76104,John Peter Smith Hospital (AKA JPS Health Network),1500 S Main St,Fort Worth,TX,76104,"1500 S MAIN ST STE OPC 1                ,FORT WORTH               ,TX,76104","1500 S MAIN ST,FORT WORTH,TX,76104",,,32.7270451,-97.32796714552929,,0
,6604718,763,80%,Moderate,,HARRIS FAMILY MEDICAL CENTER            ,1800 W HIBISCUS BLVD STE 101            ,MELBOURNE                ,FL,32901,Holmes Regional Medical Center,1350 Hickory St,Melbourne,FL,32901,"1800 W HIBISCUS BLVD STE 101            ,MELBOURNE                ,FL,32901","1350 HICKORY ST,MELBOURNE,FL,32901",,,28.087377899999996,-80.6144080300616,,0
,31966550,759671,80%,Moderate,,SOUTHERN CHESTER COUNTY                 ,1011 W BALTIMORE PIKE                   ,WEST GROVE               ,PA,19390,Jennersville Radiology Pc,1015 W Baltimore Pike,West Grove,PA,19390,"1011 W BALTIMORE PIKE                   ,WEST GROVE               ,PA,19390","1015 W BALTIMORE PIKE,WEST GROVE,PA,19390",39.820692799999996,-75.8373709,39.820692799999996,-75.8373709,0.0,1
,30147701,753980,80%,Moderate,,CHESAPEAKE ONC/HEM ASSOCPC-PATUX        ,5450 KNOLL NORTH DR STE 140             ,COLUMBIA                 ,MD,21045,Columbia Medical Practice (AKA Bellor Leichtling Saway and Schneider PC),"5450 Knoll North Dr, Suite 180",Columbia,MD,21045,"5450 KNOLL NORTH DR STE 140             ,COLUMBIA                 ,MD,21045","5450 KNOLL NORTH DR, SUITE 180,COLUMBIA,MD,21045",39.224445,-76.83996,39.224445,-76.83996,0.0,1
,39190284,5433,80%,Moderate,,UF HEALTH PHARMACY - SHANDS HOSPITA     ,1600 SW ARCHER RD                       ,GAINESVILLE              ,FL,32610,Select Specialty Hospital - Gainesville,"1600 Sw Archer Rd, 5th Fl",Gainesville,FL,32610,"1600 SW ARCHER RD                       ,GAINESVILLE              ,FL,32610","1600 SW ARCHER RD, 5TH FL,GAINESVILLE,FL,32610",,,,,,0
,18312079,6165,80%,Moderate,,RESURRECTION LTC PHARMACY               ,100 N RIVER RD                          ,DES PLAINES              ,IL,60016,AMITA Health Holy Family Medical Center Des Plaines (FKA Presence Holy Family Medical Center),100 N River Rd,Des Plaines,IL,60016,"100 N RIVER RD                          ,DES PLAINES              ,IL,60016","100 N RIVER RD,DES PLAINES,IL,60016",42.0563788,-87.8913467956053,42.0563788,-87.8913467956053,0.0,1
,49620487,3545,79%,Moderate,,HEALTH SPECTRUM PHARMACY SERVICES POCONO,206 E BROWN ST FL 1                     ,EAST STROUDSBURG         ,PA,18301,Lehigh Valley Hospital - Pocono (FKA Pocono Medical Center),206 E Brown St,East Stroudsburg,PA,18301,"206 E BROWN ST FL 1                     ,EAST STROUDSBURG         ,PA,18301","206 E BROWN ST,EAST STROUDSBURG,PA,18301",,,40.9923765,-75.1749127181746,,0
,4088407,235,79%,Moderate,,NORTH EAST ARKANSAS BAPTIST CLINIC      ,311 E MATTHEWS AVE                      ,JONESBORO                ,AR,72401,NEA Baptist Memorial Hospital,4800 E Johnson Ave,Jonesboro,AR,72401,"311 E MATTHEWS AVE                      ,JONESBORO                ,AR,72401","4800 E JOHNSON AVE,JONESBORO,AR,72401",35.8356723262905,-90.70211571703871,35.86593345,-90.6371690210189,4.195356202390132,0
,4265733,1592,79%,Moderate,,CANCER CTR OF KANSAS - CHANUTE          ,505 S PLUMMER AVE                       ,CHANUTE                  ,KS,66720,Neosho Memorial Regional Medical Center,629 S Plummer Ave,Chanute,KS,66720,"505 S PLUMMER AVE                       ,CHANUTE                  ,KS,66720","629 S PLUMMER AVE,CHANUTE,KS,66720",37.677409000000004,-95.470988,37.67540425,-95.4725032,0.1614065569825067,1
,30229675,4912,79%,Moderate,,AZ ONC ASSOC-PRESCOTT VALLEY            ,3188 N WINDSONG DR                      ,PRESCOTT VALLEY          ,AZ,86314,Mountain Valley Regional Rehabilitation Hospital,3700 N Windsong Dr,Prescott Valley,AZ,86314,"3188 N WINDSONG DR                      ,PRESCOTT VALLEY          ,AZ,86314","3700 N WINDSONG DR,PRESCOTT VALLEY,AZ,86314",34.5872077168172,-112.326903221074,34.595908,-112.32743799999999,0.6019003867136633,0
,36443435,956922,79%,Moderate,,SIU PHYSICIAN & SURGEONS HEALTHC        ,315 W CARPENTER ST                      ,SPRINGFIELD              ,IL,62702,Springfield Clinic,350 W Carpenter St,Springfield,IL,62702,"315 W CARPENTER ST                      ,SPRINGFIELD              ,IL,62702","350 W CARPENTER ST,SPRINGFIELD,IL,62702",39.8082507,-89.65832675034191,39.8071751,-89.65915059999999,0.0862269842226803,1
,8557132,2082,79%,Moderate,,WALGREEN CO                             ,1221 PINE GROVE AVE STE P               ,PORT HURON               ,MI,48060,McLaren Port Huron,1221 Pine Grove Ave,Port Huron,MI,48060,"1221 PINE GROVE AVE STE P               ,PORT HURON               ,MI,48060","1221 PINE GROVE AVE,PORT HURON,MI,48060",,,42.9878542,-82.42978254,,0
,14775420,643614,79%,Moderate,,TEXAS ONC-SAN ANTONIO STONE OA          ,18707 HARDY OAK BLVD STE 320            ,SAN ANTONIO              ,TX,78258,San Antonio Orthopaedic Specialists,"325 E Sonterra Blvd, Suite 120",San Antonio,TX,78258,"18707 HARDY OAK BLVD STE 320            ,SAN ANTONIO              ,TX,78258","325 E SONTERRA BLVD, SUITE 120,SAN ANTONIO,TX,78258",29.61526,-98.477974,29.616295,-98.48969,0.7073675494189036,0
,36922472,4379,79%,Moderate,,PRESCRIPTION PAD PHARMACY - SOUTH       ,400 S 43RD ST                           ,RENTON                   ,WA,98055,Valley Medical Center,400 S 43rd St,Renton,WA,98055,"400 S 43RD ST                           ,RENTON                   ,WA,98055","400 S 43RD ST,RENTON,WA,98055",47.4433094,-122.213964060406,47.4433094,-122.213964060406,0.0,1
,13882588,721055,79%,Moderate,,GA CANCER MACON-SUP                     ,308 COLISEUM DR STE 120                 ,MACON                    ,GA,31217,Dermatologic Surgery Specialists PC,"308 Coliseum Dr, Ste 200",Macon,GA,31217,"308 COLISEUM DR STE 120                 ,MACON                    ,GA,31217","308 COLISEUM DR, STE 200,MACON,GA,31217",32.844353,-83.61732,32.844353,-83.61732,0.0,1
,27741374,649847,79%,Moderate,,HIBBELN SURGERY CENTER                  ,8244 E US HIGHWAY 36 STE 110            ,AVON                     ,IN,46123,Comprehensive Dermatology PC,"8244 E Us Highway 36, Suite 1220",Avon,IN,46123,"8244 E US HIGHWAY 36 STE 110            ,AVON                     ,IN,46123","8244 E US HIGHWAY 36, SUITE 1220,AVON,IN,46123",39.762997,-86.38892,,,,0
,4250654,627763,79%,Moderate,,FLORIDA CANCER-OCALA KAMAL-OCK          ,2820 SE 3RD CT STE 200                  ,OCALA                    ,FL,34471,Florida Cancer Affiliates,3130 SW 32nd Ave,Ocala,FL,34471,"2820 SE 3RD CT STE 200                  ,OCALA                    ,FL,34471","3130 SW 32ND AVE,OCALA,FL,34471",,,29.155925698965603,-82.1745620841515,,0
,8834613,1365,79%,Moderate,,IU HEALTH UNIVERSITY RETAIL PHCY        ,550 UNIVERSITY BLVD # UH1425            ,INDIANAPOLIS             ,IN,46202,IU Health Methodist Hospital,1701 N Senate Blvd,Indianapolis,IN,46202,"550 UNIVERSITY BLVD # UH1425            ,INDIANAPOLIS             ,IN,46202","1701 N SENATE BLVD,INDIANAPOLIS,IN,46202",,,,,,0
,4309627,705026,79%,Moderate,,PROVIDENCE REG CANCER SVCS LACEY        ,4525 3RD AVE SE STE 200                 ,LACEY                    ,WA,98503,Radiantcare Radiation Oncology LLC (FKA Olympia Radiation Oncology),"4525 3rd Ave Se,  Suite 100",Lacey,WA,98503,"4525 3RD AVE SE STE 200                 ,LACEY                    ,WA,98503","4525 3RD AVE SE,  SUITE 100,LACEY,WA,98503",,,,,,0
,8890384,3931,79%,Moderate,,PARKLAND OUTPATIENT PHCY 340B           ,5201 HARRY HINES BLVD FL 1              ,DALLAS                   ,TX,75235,Parkland Health and Hospital System (AKA Parkland Memorial Hospital),5200 Harry Hines Blvd,Dallas,TX,75235,"5201 HARRY HINES BLVD FL 1              ,DALLAS                   ,TX,75235","5200 HARRY HINES BLVD,DALLAS,TX,75235",,,32.8131807,-96.8353814481855,,0
,2735844,727024,79%,Moderate,,PIEDMONT CANCER INSTITUTE - WE          ,1800 HOWELL MILL RD NW STE 800          ,ATLANTA                  ,GA,30318,Georgia Skin Specialists,"1800 Howell Mill Rd Nw, Ste 680",Atlanta,GA,30318,"1800 HOWELL MILL RD NW STE 800          ,ATLANTA                  ,GA,30318","1800 HOWELL MILL RD NW, STE 680,ATLANTA,GA,30318",33.803905,-84.413895,33.803905,-84.413895,0.0,1
,49599309,612,79%,Moderate,,SANTA ROSA SURG ENDO CTR                ,34 MARK WEST SPRINGS RD STE 100         ,SANTA ROSA               ,CA,95403,Kaiser Permanente Santa Rosa Medical Center,401 Bicentennial Way,Santa Rosa,CA,95403,"34 MARK WEST SPRINGS RD STE 100         ,SANTA ROSA               ,CA,95403","401 BICENTENNIAL WAY,SANTA ROSA,CA,95403",,,38.47181565,-122.7271932,,0
,29389632,750313,79%,Moderate,,TOTAL JOINT CTR OF ST LOUIS LP          ,760 OFFICE PKWY                         ,SAINT LOUIS              ,MO,63141,Urology of St Louis,"12855 N 40 Dr, Ste 375",Saint Louis,MO,63141,"760 OFFICE PKWY                         ,SAINT LOUIS              ,MO,63141","12855 N 40 DR, STE 375,SAINT LOUIS,MO,63141",38.67012025,-90.4329222291284,,,,0
,1914460,879,79%,Moderate,,FLORIDA CANCER SPECIALISTS              ,1309 N FLAGLER DR                       ,WEST PALM BEACH          ,FL,33401,Good Samaritan Medical Center,1309 N Flagler Dr,West Palm Beach,FL,33401,"1309 N FLAGLER DR                       ,WEST PALM BEACH          ,FL,33401","1309 N FLAGLER DR,WEST PALM BEACH,FL,33401",26.72499255,-80.05156684186959,26.72499255,-80.05156684186959,0.0,1
,8172373,835224,79%,Moderate,,AFFILIATED ONCOLOGISTS LLC              ,4400 W 95TH ST STE 311                  ,OAK LAWN                 ,IL,60453,Gynecological Cancer Institute of Chicago LLC,"6700 W 95th St, Ste 330",Oak Lawn,IL,60453,"4400 W 95TH ST STE 311                  ,OAK LAWN                 ,IL,60453","6700 W 95TH ST, STE 330,OAK LAWN,IL,60453",,,,,,0
,53356036,696274,79%,Moderate,,COMPREHENSIVE CANCER CENTERS O          ,653 N TOWN CENTER DR STE 402            ,LAS VEGAS                ,NV,89144,Hl Greenberg MD LTD (AKA Las Vegas Dermatology),"653 N Town Center Dr, Suite 414",Las Vegas,NV,89144,"653 N TOWN CENTER DR STE 402            ,LAS VEGAS                ,NV,89144","653 N TOWN CENTER DR, SUITE 414,LAS VEGAS,NV,89144",36.179028,-115.316765,36.179028,-115.316765,0.0,1
,38729863,763208,79%,Moderate,,PAVILION POINTE PHARMACY                ,2705 N LEBANON ST STE 100               ,LEBANON                  ,IN,46052,Boone County Emergency Medicine,2705 N Lebanon St,Lebanon,IN,46052,"2705 N LEBANON ST STE 100               ,LEBANON                  ,IN,46052","2705 N LEBANON ST,LEBANON,IN,46052",,,40.054208200000005,-86.4700905,,0
,38299302,649068,79%,Moderate,,UNIV OF NEW MEXICO CANCER CENTER        ,1201 CAMINO DE SALUD NE                 ,ALBUQUERQUE              ,NM,87102,New Mexico Cancer Center,4901 Lang Ave Ne,Albuquerque,NM,87109,"1201 CAMINO DE SALUD NE                 ,ALBUQUERQUE              ,NM,87102","4901 LANG AVE NE,ALBUQUERQUE,NM,87109",35.0963748,-106.63150690000002,35.1732666274123,-106.590793656756,5.789395976259792,0
,36534271,3448,79%,Moderate,,AGH APOTHECARY                          ,320 E NORTH AVE STE 111                 ,PITTSBURGH               ,PA,15212,Allegheny General Hospital,320 E North Ave,Pittsburgh,PA,15212,"320 E NORTH AVE STE 111                 ,PITTSBURGH               ,PA,15212","320 E NORTH AVE,PITTSBURGH,PA,15212",,,40.45696955,-80.00331139288609,,0
,4269947,902,79%,Moderate,,FLORIDA CANCER SPECIALISTS              ,400 PINELLAS ST STE 300                 ,CLEARWATER               ,FL,33756,Morton Plant Hospital,300 Pinellas St,Clearwater,FL,33756,"400 PINELLAS ST STE 300                 ,CLEARWATER               ,FL,33756","300 PINELLAS ST,CLEARWATER,FL,33756",,,27.951860600000003,-82.8020293952575,,0
,34509096,681162,79%,Moderate,,BIRMINGHAM HEM/ONC ASSOC LLC-MON        ,3686 GRANDVIEW PKWY STE 510             ,BIRMINGHAM               ,AL,35243,Dermatologists of Birmingham,"3570 Grandview Pkwy, Suite 100B",Birmingham,AL,35243,"3686 GRANDVIEW PKWY STE 510             ,BIRMINGHAM               ,AL,35243","3570 GRANDVIEW PKWY, SUITE 100B,BIRMINGHAM,AL,35243",,,33.43863,-86.718445,,0
