Category,ITM ID,Source ID,Match Score,Match Type,Mark As,ITM Business name,ITM Address -1,ITM City,ITM State,ITM Zip,Source Business name,Source Address -1,Source City,Source State,Source Zip
,4265727,957581,80%,Moderate,,CANCER CENTER OF KANSAS                 ,600 S SANTA FE AVE STE E                ,SALINA                   ,KS,67401,Central Care Cancer Center,2337 E Crawford St,Salina,KS,67401
,34323182,969264,80%,Moderate,,GEORGIA CANCER SPECIALISTS-OCONE        ,1000 COWLES CLINC WAY STE M-200         ,GREENSBORO               ,GA,30642,Athens Orthopedic Clinic,"1000 Cowles Clinc Way, Suite C200A",Greensboro,GA,30642
,15482490,3495,80%,Moderate,,WALGREENS                               ,1 MEDICAL CENTER BLVD                   ,CHESTER                  ,PA,19013,Crozer-Chester Medical Center,1 Medical Center Blvd,Chester,PA,19013
,12474466,592031,80%,Moderate,,PROF OFFICE BLDG INFUSION PHARMACY      ,1725 W HARRISON ST STE 1059             ,CHICAGO                  ,IL,60612,Gordon H Derman MD SC,"1725 W Harrison St, Ste 740",Chicago,IL,60612
,35100393,4555,80%,Moderate,,WALGREEN CO                             ,900 ILLINOIS AVE                        ,STEVENS POINT            ,WI,54481,Ascension St Michaels Hospital,900 Illinois Ave,Stevens Point,WI,54481
,13131363,5783,80%,Moderate,,WALGREENS #13974                        ,225 E CHICAGO AVE                       ,CHICAGO                  ,IL,60611,Ann & Robert H Lurie Childrens Hospital of Chicago,225 E Chicago Ave,Chicago,IL,60611
,8965458,585559,80%,Moderate,,ASCENSION SETON CENTRAL OUTPATIENT PHARM,1500 RED RIVER ST STE 14052             ,AUSTIN                   ,TX,78701,Dell Seton Medical Center at the University of Texas,1500 Red River St,Austin,TX,78701
,4348272,617648,80%,Moderate,,HIGHLANDS ONCOLOGY GROUP                ,808 S 52ND ST                           ,ROGERS                   ,AR,72758,Hull Dermatology PA,500 S 52nd St,Rogers,AR,72758
,1877794,952,80%,Moderate,,WIGGINS FAMILY MED CTR 50100            ,1128 S PARK ST                          ,CARROLLTON               ,GA,30117,Tanner Medical Center - Carrollton,705 Dixie St,Carrollton,GA,30117
,19289897,666947,80%,Moderate,,BAYSTATE MEDICAL CENTER                 ,3300 MAIN ST                            ,SPRINGFIELD              ,MA,01107,New England Dermatology & Laser Center,3455 Main St,Springfield,MA,01107
,29388848,609802,80%,Moderate,,CHARLES RIVER ONCOLOGY                  ,67 UNION ST STE 206                     ,NATICK                   ,MA,01760,MetroWest Urology,"67 Union St, Ste 308",Natick,MA,01760
,8834796,678996,80%,Moderate,,BIRMINGHAM HEM/ONC ASSOC LLC-ST         ,2728 10TH AVE S STE 200                 ,BIRMINGHAM               ,AL,35205,St Vincents Orthopedics PC,"2700 10th Ave S, Suite 200-201",Birmingham,AL,35205
,35821282,756,80%,Moderate,,"SHANDS TEACHING HOSPITAL & CLINICS, INC ",1515 SW ARCHER RD RM 1010               ,GAINESVILLE              ,FL,32608,UF Health Shands Hospital (FKA Shands at the University of Florida),1600 Sw Archer Rd,Gainesville,FL,32608
,38919913,741888,80%,Moderate,,REDIMEDS PHARMACY LLC                   ,3466 MCCULLOUGH BLVD STE D2             ,BELDEN                   ,MS,38826,Express Care West LLC,"2885 McCullough Blvd, Ste A",Belden,MS,38826
,33399211,3207,80%,Moderate,,MIAMI VALLEY HOSPITAL SOUTH             ,2400 MIAMI VALLEY DR                    ,DAYTON                   ,OH,45459,Miami Valley Hospital,1 Wyoming St,Dayton,OH,45409
,35096517,1024,80%,Moderate,,JONES MED EQUIP/HINESVILL               ,481 E G MILES PKWY STE B                ,HINESVILLE               ,GA,31313,Liberty Regional Medical Center,462 E G Miles Pkwy,Hinesville,GA,31313
,38716740,2592,80%,Moderate,,CENTRX PHY SUMMERLIN EMP                ,653 N TOWN CENTER DR STE 100            ,LAS VEGAS                ,NV,89144,Summerlin Hospital Medical Center,657 N Town Center Dr,Las Vegas,NV,89144
,6551,6017,80%,Moderate,,BAYLOR SCOTT & WHITE MCLANE             ,1901 SW H K DODGEN LOOP                 ,TEMPLE                   ,TX,76502,Baylor Scott & White Continuing Care Hospital - Temple,546 N Kegley Rd,Temple,TX,76502
,38651768,553232,80%,Moderate,,AMBULATORY CARE PHARMACY                ,200 HAWKINS DR                          ,IOWA CITY                ,IA,52242,University of Iowa Stead Family Childrens Hospital,200 Hawkins Dr,Iowa City,IA,52242
,2000535,1000059,80%,Moderate,,ALLIANCE CANCER SPECIALISTS PC          ,915 LAWN AVE STE 202                    ,SELLERSVILLE             ,PA,18960,Grand View Surgical Associates,"915 Lawn Ave, Suite 203",Sellersville,PA,18960
,10198190,4285,80%,Moderate,,ONC/HEM OF LOUDOUN AND RESTON           ,44055 RIVERSIDE PKWY STE 224            ,LEESBURG                 ,VA,20176,Inova Loudoun Hospital,44045 Riverside Pkwy,Leesburg,VA,20176
,1905108,629039,80%,Moderate,,SOUTH TEXAS VALLEY PHARMACY LLC         ,2717 MICHAELANGELO DR STE 200           ,EDINBURG                 ,TX,78539,Mcallen Oncology PA,"2717 Michaelangelo Dr, Ste 200",Edinburg,TX,78539
,9529841,581763,80%,Moderate,,HEALTH CARE DISTRICT OF PALM BEACH COUNT,1150 45TH ST                            ,WEST PALM BEACH          ,FL,33407,Palm Beach Childrens Hospital at St Marys Medical Center,901 45th St,West Palm Beach,FL,33407
,8972671,4446,80%,Moderate,,HEALTHSOUTH HILLS REHAB HOSP            ,120 12TH STREET EXT                     ,PRINCETON                ,WV,24740,Princeton Community Hospital,122 12th St,Princeton,WV,24740
,17518886,553268,80%,Moderate,,PRONGER SMITH MEDICAL CARE              ,17495 LA GRANGE RD STE 1                ,TINLEY PARK              ,IL,60487,Alpha Med Physicians Group,"17333 La Grange Rd, Suite 100",Tinley Park,IL,60487
,37022531,729636,80%,Moderate,,RED ROCKS SURGERY CENTER #712           ,400 INDIANA ST STE 100                  ,GOLDEN                   ,CO,80401,Mountain Blue Cancer Care Center PC,"400 Indiana St, Ste 270",Golden,CO,80401
,9017202,4147,80%,Moderate,,JPS OUTPATIENT PHARMACY                 ,1500 S MAIN ST STE OPC 1                ,FORT WORTH               ,TX,76104,John Peter Smith Hospital (AKA JPS Health Network),1500 S Main St,Fort Worth,TX,76104
,6604718,763,80%,Moderate,,HARRIS FAMILY MEDICAL CENTER            ,1800 W HIBISCUS BLVD STE 101            ,MELBOURNE                ,FL,32901,Holmes Regional Medical Center,1350 Hickory St,Melbourne,FL,32901
,31966550,759671,80%,Moderate,,SOUTHERN CHESTER COUNTY                 ,1011 W BALTIMORE PIKE                   ,WEST GROVE               ,PA,19390,Jennersville Radiology Pc,1015 W Baltimore Pike,West Grove,PA,19390
,30147701,753980,80%,Moderate,,CHESAPEAKE ONC/HEM ASSOCPC-PATUX        ,5450 KNOLL NORTH DR STE 140             ,COLUMBIA                 ,MD,21045,Columbia Medical Practice (AKA Bellor Leichtling Saway and Schneider PC),"5450 Knoll North Dr, Suite 180",Columbia,MD,21045
,39190284,5433,80%,Moderate,,UF HEALTH PHARMACY - SHANDS HOSPITA     ,1600 SW ARCHER RD                       ,GAINESVILLE              ,FL,32610,Select Specialty Hospital - Gainesville,"1600 Sw Archer Rd, 5th Fl",Gainesville,FL,32610
,18312079,6165,80%,Moderate,,RESURRECTION LTC PHARMACY               ,100 N RIVER RD                          ,DES PLAINES              ,IL,60016,AMITA Health Holy Family Medical Center Des Plaines (FKA Presence Holy Family Medical Center),100 N River Rd,Des Plaines,IL,60016
,49620487,3545,79%,Moderate,,HEALTH SPECTRUM PHARMACY SERVICES POCONO,206 E BROWN ST FL 1                     ,EAST STROUDSBURG         ,PA,18301,Lehigh Valley Hospital - Pocono (FKA Pocono Medical Center),206 E Brown St,East Stroudsburg,PA,18301
,4088407,235,79%,Moderate,,NORTH EAST ARKANSAS BAPTIST CLINIC      ,311 E MATTHEWS AVE                      ,JONESBORO                ,AR,72401,NEA Baptist Memorial Hospital,4800 E Johnson Ave,Jonesboro,AR,72401
,4265733,1592,79%,Moderate,,CANCER CTR OF KANSAS - CHANUTE          ,505 S PLUMMER AVE                       ,CHANUTE                  ,KS,66720,Neosho Memorial Regional Medical Center,629 S Plummer Ave,Chanute,KS,66720
,30229675,4912,79%,Moderate,,AZ ONC ASSOC-PRESCOTT VALLEY            ,3188 N WINDSONG DR                      ,PRESCOTT VALLEY          ,AZ,86314,Mountain Valley Regional Rehabilitation Hospital,3700 N Windsong Dr,Prescott Valley,AZ,86314
,36443435,956922,79%,Moderate,,SIU PHYSICIAN & SURGEONS HEALTHC        ,315 W CARPENTER ST                      ,SPRINGFIELD              ,IL,62702,Springfield Clinic,350 W Carpenter St,Springfield,IL,62702
,8557132,2082,79%,Moderate,,WALGREEN CO                             ,1221 PINE GROVE AVE STE P               ,PORT HURON               ,MI,48060,McLaren Port Huron,1221 Pine Grove Ave,Port Huron,MI,48060
,14775420,643614,79%,Moderate,,TEXAS ONC-SAN ANTONIO STONE OA          ,18707 HARDY OAK BLVD STE 320            ,SAN ANTONIO              ,TX,78258,San Antonio Orthopaedic Specialists,"325 E Sonterra Blvd, Suite 120",San Antonio,TX,78258
,36922472,4379,79%,Moderate,,PRESCRIPTION PAD PHARMACY - SOUTH       ,400 S 43RD ST                           ,RENTON                   ,WA,98055,Valley Medical Center,400 S 43rd St,Renton,WA,98055
,13882588,721055,79%,Moderate,,GA CANCER MACON-SUP                     ,308 COLISEUM DR STE 120                 ,MACON                    ,GA,31217,Dermatologic Surgery Specialists PC,"308 Coliseum Dr, Ste 200",Macon,GA,31217
,27741374,649847,79%,Moderate,,HIBBELN SURGERY CENTER                  ,8244 E US HIGHWAY 36 STE 110            ,AVON                     ,IN,46123,Comprehensive Dermatology PC,"8244 E Us Highway 36, Suite 1220",Avon,IN,46123
,4250654,627763,79%,Moderate,,FLORIDA CANCER-OCALA KAMAL-OCK          ,2820 SE 3RD CT STE 200                  ,OCALA                    ,FL,34471,Florida Cancer Affiliates,3130 SW 32nd Ave,Ocala,FL,34471
,8834613,1365,79%,Moderate,,IU HEALTH UNIVERSITY RETAIL PHCY        ,550 UNIVERSITY BLVD # UH1425            ,INDIANAPOLIS             ,IN,46202,IU Health Methodist Hospital,1701 N Senate Blvd,Indianapolis,IN,46202
,4309627,705026,79%,Moderate,,PROVIDENCE REG CANCER SVCS LACEY        ,4525 3RD AVE SE STE 200                 ,LACEY                    ,WA,98503,Radiantcare Radiation Oncology LLC (FKA Olympia Radiation Oncology),"4525 3rd Ave Se,  Suite 100",Lacey,WA,98503
,8890384,3931,79%,Moderate,,PARKLAND OUTPATIENT PHCY 340B           ,5201 HARRY HINES BLVD FL 1              ,DALLAS                   ,TX,75235,Parkland Health and Hospital System (AKA Parkland Memorial Hospital),5200 Harry Hines Blvd,Dallas,TX,75235
,2735844,727024,79%,Moderate,,PIEDMONT CANCER INSTITUTE - WE          ,1800 HOWELL MILL RD NW STE 800          ,ATLANTA                  ,GA,30318,Georgia Skin Specialists,"1800 Howell Mill Rd Nw, Ste 680",Atlanta,GA,30318
,49599309,612,79%,Moderate,,SANTA ROSA SURG ENDO CTR                ,34 MARK WEST SPRINGS RD STE 100         ,SANTA ROSA               ,CA,95403,Kaiser Permanente Santa Rosa Medical Center,401 Bicentennial Way,Santa Rosa,CA,95403
,29389632,750313,79%,Moderate,,TOTAL JOINT CTR OF ST LOUIS LP          ,760 OFFICE PKWY                         ,SAINT LOUIS              ,MO,63141,Urology of St Louis,"12855 N 40 Dr, Ste 375",Saint Louis,MO,63141
,1914460,879,79%,Moderate,,FLORIDA CANCER SPECIALISTS              ,1309 N FLAGLER DR                       ,WEST PALM BEACH          ,FL,33401,Good Samaritan Medical Center,1309 N Flagler Dr,West Palm Beach,FL,33401
,8172373,835224,79%,Moderate,,AFFILIATED ONCOLOGISTS LLC              ,4400 W 95TH ST STE 311                  ,OAK LAWN                 ,IL,60453,Gynecological Cancer Institute of Chicago LLC,"6700 W 95th St, Ste 330",Oak Lawn,IL,60453
,53356036,696274,79%,Moderate,,COMPREHENSIVE CANCER CENTERS O          ,653 N TOWN CENTER DR STE 402            ,LAS VEGAS                ,NV,89144,Hl Greenberg MD LTD (AKA Las Vegas Dermatology),"653 N Town Center Dr, Suite 414",Las Vegas,NV,89144
,38729863,763208,79%,Moderate,,PAVILION POINTE PHARMACY                ,2705 N LEBANON ST STE 100               ,LEBANON                  ,IN,46052,Boone County Emergency Medicine,2705 N Lebanon St,Lebanon,IN,46052
,38299302,649068,79%,Moderate,,UNIV OF NEW MEXICO CANCER CENTER        ,1201 CAMINO DE SALUD NE                 ,ALBUQUERQUE              ,NM,87102,New Mexico Cancer Center,4901 Lang Ave Ne,Albuquerque,NM,87109
,36534271,3448,79%,Moderate,,AGH APOTHECARY                          ,320 E NORTH AVE STE 111                 ,PITTSBURGH               ,PA,15212,Allegheny General Hospital,320 E North Ave,Pittsburgh,PA,15212
,4269947,902,79%,Moderate,,FLORIDA CANCER SPECIALISTS              ,400 PINELLAS ST STE 300                 ,CLEARWATER               ,FL,33756,Morton Plant Hospital,300 Pinellas St,Clearwater,FL,33756
,34509096,681162,79%,Moderate,,BIRMINGHAM HEM/ONC ASSOC LLC-MON        ,3686 GRANDVIEW PKWY STE 510             ,BIRMINGHAM               ,AL,35243,Dermatologists of Birmingham,"3570 Grandview Pkwy, Suite 100B",Birmingham,AL,35243
,29839792,3701,79%,Moderate,,AVERA SPECIALTY PHARMACY                ,1301 S CLIFF AVE STE 200                ,SIOUX FALLS              ,SD,57105,Avera McKennan Hospital & University Health Center,1325 S Cliff Ave,Sioux Falls,SD,57105
,1914548,671388,79%,Moderate,,CENTER FOR CANCER & BLOOD DISORDERS     ,202 E DR HICKS BLVD STE 3               ,FLORENCE                 ,AL,35630,North Alabama Medical Center,426 E Dr Hicks Blvd,Florence,AL,35630
,28067103,552769,79%,Moderate,,TEXAS ONCOLOGY PHARMACY-GRAPEV          ,1631 LANCASTER DR STE 150               ,GRAPEVINE                ,TX,76051,Health Texas Provider Network,1643 Lancaster Dr,Grapevine,TX,76051
,16105183,617388,79%,Moderate,,"MUNOZ, DR ALAN K                        ",12200 PARK CENTRAL DR STE 410           ,DALLAS                   ,TX,75251,North Texas Gynecologic Oncology,"12200 Park Central Dr, Ste 410",Dallas,TX,75251
,49434211,19,79%,Moderate,,TH RX4U                                 ,750 MORPHY AVE                          ,FAIRHOPE                 ,AL,36532,Thomas Hospital,750 Morphy Ave,Fairhope,AL,36532
,8777271,550389,79%,Moderate,,JOHNS HOPKINS COMMUNITY PHYSICIANS      ,2700 REMINGTON AVE STE 2000             ,BALTIMORE                ,MD,21211,Johns Hopkins Community Physicians,"6225 Smith Ave, Suite B300",Baltimore,MD,21209
,27179281,636156,79%,Moderate,,STEPHENSON CANCER INFUSION CENTER       ,800 NE 10TH ST STE 3001                 ,OKLAHOMA CITY            ,OK,73104,OU Physicians,800 Ne 10th St,Oklahoma City,OK,73104
,12932749,596,79%,Moderate,,COUNTY OF SANTA CLARA                   ,2400 MOORPARK AVE STE 100               ,SAN JOSE                 ,CA,95128,Santa Clara Valley Medical Center,751 S Bascom Ave,San Jose,CA,95128
,7375,4451,79%,Moderate,,WEST VIRGINIA UNIV                      ,1 MEDICAL CENTER DR                     ,MORGANTOWN               ,WV,26506,JW Ruby Memorial Hospital,1 Medical Center Dr,Morgantown,WV,26506
,32844832,1092,79%,Moderate,,GROVE CREEK MEDICAL CENTER              ,350 N MERIDIAN ST                       ,BLACKFOOT                ,ID,83221,Idaho Doctors Hospital (Closed),350 N Meridian St,Blackfoot,ID,83221
,37311775,668516,79%,Moderate,,WESLEY LONG OUTPATIENT PHARMACY         ,515 N ELAM AVE                          ,GREENSBORO               ,NC,27403,Piedmont Radiation Oncologists PA,501 N Elam Ave,Greensboro,NC,27403
,38804097,3951,79%,Moderate,,BAYLOR SCOTT & WHITE PHARMACY #110      ,2460 N INTERSTATE HIGHWAY 35 E STE 155  ,WAXAHACHIE               ,TX,75165,Baylor Scott & White Medical Center - Waxahachie (FKA Baylor Scott & White Health - North Texas),2400 N I-35E,Waxahachie,TX,75165
,37639358,2952,79%,Moderate,,MCCREARY CANCER CENTER                  ,212 MULBERRY ST SW                      ,LENOIR                   ,NC,28645,Caldwell UNC Health Care (AKA Caldwell Memorial Hospital),321 Mulberry St Sw,Lenoir,NC,28645
,2387087,3641,79%,Moderate,,UPSTATE MEDICAL PHARMACY                ,701 GROVE RD                            ,GREENVILLE               ,SC,29605,Greenville Memorial Hospital,701 Grove Rd,Greenville,SC,29605
,38707049,835280,79%,Moderate,,NORTHEAST GA BRS GPO                    ,1400 RIVER PL                           ,BRASELTON                ,GA,30517,Cornerstone Surgery of Braselton PC,1404 River Pl,Braselton,GA,30517
,49563321,617265,79%,Moderate,,BEAUMONT INFUSION PHARMACY              ,44344 DEQUINDRE RD STE 230              ,STERLING HEIGHTS         ,MI,48314,Cancer & Leukemia Center PLLC,"44344 Dequindre Rd, Ste 260",Sterling Hts,MI,48314
,34300710,654758,79%,Moderate,,KINGSPORT DAY SURGERY                   ,2204 PAVILION DR STE 300                ,KINGSPORT                ,TN,37660,Kingsport Urology Group,1932 Brookside Dr,Kingsport,TN,37660
,20575339,747662,79%,Moderate,,SURGERY CENTER OF LYNCHBURG             ,2401 ATHERHOLT RD                       ,LYNCHBURG                ,VA,24501,Head & Neck Surgery of Central Virginia,3029 Old Forest Rd,Lynchburg,VA,24501
,32262520,596863,79%,Moderate,,CEDARS SINAI MED CARE FNDN - O          ,1919 SANTA MONICA BLVD STE 400          ,SANTA MONICA             ,CA,90404,Mary Lee Amerian MD A Medical Corp,"2336 Santa Monica Blvd, Suite 209",Santa Monica,CA,90404
,15898207,691231,79%,Moderate,,LOS ANGELES HEM ONC MED GROUP           ,1505 WILSON TER STE 200                 ,GLENDALE                 ,CA,91206,Comprehensive Hematology Oncology Centers Inc,"1505 Wilson Ter, Suite 340",Glendale,CA,91206
,2744658,2363,79%,Moderate,,MERCY CLINIC                            ,901 PATIENTS FIRST DR                   ,WASHINGTON               ,MO,63090,Mercy Hospital Washington,901 E 5th St,Washington,MO,63090
,52795103,550662,79%,Moderate,,UMASS MEM HAHN GPO                      ,281 LINCOLN ST                          ,WORCESTER                ,MA,01605,UMass Memorial Medical Group,365 Plantation St,Worcester,MA,01605
,8411784,660907,79%,Moderate,,CCARE                                   ,9850 GENESEE AVE STE 560                ,LA JOLLA                 ,CA,92037,Scott W Barttelbort MD APC,"9850 Genesee Ave, Suite 730",La Jolla,CA,92037
,6720035,1142,79%,Moderate,,UNIV OF IL OUTPATIENT PHCY              ,840 S WOOD ST RM 163MC884               ,CHICAGO                  ,IL,60612,University of Illinois Hospital,1740 W Taylor St,Chicago,IL,60612
,2167,1385,79%,Moderate,,MAJOR HOSPITAL                          ,150 W WASHINGTON ST                     ,SHELBYVILLE              ,IN,46176,Major Health Partners Medical Center (FKA Major Hospital),2451 Intelliplex Dr,Shelbyville,IN,46176
,52285820,755101,79%,Moderate,,METRO HEALTH OAM SURG CTR               ,555 MIDTOWNE ST NE STE 200              ,GRAND RAPIDS             ,MI,49503,Dermatology at Midtowne PC,"555 Midtowne St Ne, Suite 301",Grand Rapids,MI,49503
,1742886,3934,79%,Moderate,,PRESTON ROAD APOTHECARY                 ,9301 N CENTRAL EXPY STE 110             ,DALLAS                   ,TX,75231,North Central Surgical Center Hospital,"9301 N Central Expy, Suite 100",Dallas,TX,75231
,33916580,600224,79%,Moderate,,CHESAPEAKE ONC/HEM-ANNAPOLIS-CC         ,129 LUBRANO DR STE 201                  ,ANNAPOLIS                ,MD,21401,The Center for Innovative GYN Care (AKA Center for GYN Surgery),"129 Lubrano Dr, Ste 101",Annapolis,MD,21401
,36070890,2369,79%,Moderate,,COX HEALTH SURGERY CENTER               ,960 E WALNUT LAWN ST                    ,SPRINGFIELD              ,MO,65807,Cox Medical Center South,3801 S National Ave,Springfield,MO,65807
,37531925,5959,79%,Moderate,,THE UNIVERSITY OF TEXAS SOUTHWES        ,3030 WATERVIEW PKWY                     ,RICHARDSON               ,TX,75080,Encompass Health Rehabilitation Hospital of Richardson (FKA HealthSouth Rehabilitation Hospital of Richardson),3351 Waterview Pkwy,Richardson,TX,75080
,22772010,2224,79%,Moderate,,CENTRACARE HEALTH SYSTEM                ,1900 CENTRACARE CIR                     ,SAINT CLOUD              ,MN,56303,St Cloud VA Health Care System,4801 Veterans Dr,Saint Cloud,MN,56303
,37152604,2843,79%,Moderate,,NYU MEDICAL CENTER                      ,530 1ST AVE # HCC-6C                    ,NEW YORK                 ,NY,10016,NYU Langone Tisch Hospital,550 1st Ave,New York,NY,10016
,26466209,670058,79%,Moderate,,TURKEY CREEK MEDICAL CENTER             ,10820 PARKSIDE DR                       ,KNOXVILLE                ,TN,37934,Faculty Internal Medicine,"11440 Parkside Dr, Suite 302",Knoxville,TN,37934
,37444998,620605,79%,Moderate,,ONCOLOGY RADIATION ASSOCIATES-          ,3659 S MIAMI AVE STE 2001               ,MIAMI                    ,FL,33133,Bowes Dermatology by Riverchase (AKA Leyda E Bowes MD PA),"3659 S Miami Ave, Ste 6008",Miami,FL,33133
,11830289,554,79%,Moderate,,SAN FRAN GH MAIN OP-B PHS               ,1001 POTRERO AVE RM 1P2                 ,SAN FRANCISCO            ,CA,94110,Zuckerberg San Francisco General Hospital (FKA San Francisco General Hospital),1001 Potrero Ave,San Francisco,CA,94110
,1914578,735675,79%,Moderate,,TENNESSEE CANCER SPECIALISTS PLLC       ,1415 OLD WEISGARBER RD STE 200          ,KNOXVILLE                ,TN,37909,Provision Radiation Therapy,"1415 Old Weisgarber Rd, Ste 250",Knoxville,TN,37909
,2380765,3372,79%,Moderate,,TULSA CANCER INSTITUTE PLLC             ,3470 E FRANK PHILLIPS BLVD              ,BARTLESVILLE             ,OK,74006,Ascension Jane Phillips Medical Center (FKA Jane Phillips Memorial Medical Center),3500 E Frank Phillips Blvd,Bartlesville,OK,74006
,36051204,731548,79%,Moderate,,PACIFIC SHORES MED GROUP-               ,16300 SAND CANYON AVE STE 207           ,IRVINE                   ,CA,92618,Beach Cities Dermatology,"16300 Sand Canyon Ave, Ste 612",Irvine,CA,92618
,20823716,575863,79%,Moderate,,DUKE UH CHC RBW DY PH  ST 340B          ,2301 ERWIN RD RM 4916                   ,DURHAM                   ,NC,27705,Duke Childrens Hospital & Health Center,2301 Erwin Rd,Durham,NC,27705
,1751918,707233,79%,Moderate,,SPECTRUM HEALTH SURGICAL CENTER         ,1000 E PARIS AVE SE STE 100             ,GRAND RAPIDS             ,MI,49546,Centre for Plastic Surgery (AKA Grand Rapids Plastic Surgery Plc),"2060 East Paris Ave Se, Suite 150",Grand Rapids,MI,49546
,8182,541889,79%,Moderate,,MILLARD FILLMORE SUBURBAN HOSPITAL      ,1540 MAPLE RD                           ,BUFFALO                  ,NY,14221,Millard Fillmore Suburban Hospital,1540 Maple Rd,Williamsville,NY,14221
,29144841,828,79%,Moderate,,FLORIDA CANCER-CLERMONT S               ,1920 DON WICKHAM DR STE 100             ,CLERMONT                 ,FL,34711,Orlando Health South Lake Hospital,1900 Don Wickham Dr,Clermont,FL,34711
,12862721,588986,79%,Moderate,,TEXAS ONC - KERRVILLE                   ,694 HILL COUNTRY DR                     ,KERRVILLE                ,TX,78028,D Clint Morris MD PA,695 Hill Country Drive,Kerrville,TX,78028
,1917129,550781,79%,Moderate,,WALGREENS                               ,836 PRUDENTIAL DR                       ,JACKSONVILLE             ,FL,32207,Wolfson Childrens Hospital,800 Prudential Dr,Jacksonville,FL,32207
,4309569,761493,79%,Moderate,,UTAH CANCER SPECIALISTS -LAKEVIE        ,DR KLEIN 520 E MED DR STE 340           ,BOUNTIFUL                ,UT,84010,Utah Gastroenterology PC,"620 Medical Dr, Suite 205",Bountiful,UT,84010
,8998906,503,79%,Moderate,,EL MIRADOR MEDICAL PLAZA PHARMACY INC   ,1180 N INDIAN CANYON DR STE E140        ,PALM SPRINGS             ,CA,92262,Desert Regional Medical Center,1150 N Indian Canyon Dr,Palm Springs,CA,92262
,2487904,1972,79%,Moderate,,ST ELIZABETH HLTH CARE AT BRIGHTON      ,77 WARREN ST                            ,BRIGHTON                 ,MA,02135,St Elizabeths Medical Center,736 Cambridge St,Brighton,MA,02135
,32611877,730409,79%,Moderate,,UTAH CANCER SPECIALISTS                 ,333 S 900 E FL 3                        ,SALT LAKE CITY           ,UT,84102,Ear Nose & Throat Center of Utah,22 S 900 E,Salt Lake City,UT,84102
,2019,662949,79%,Moderate,,TRINITY MED CTR 7TH ST CAMPUS           ,500 JOHN DEERE RD                       ,MOLINE                   ,IL,61265,Medical Arts Associates,"600 John Deere Rd, Suite 200",Moline,IL,61265
,5738155,3830,79%,Moderate,,"WILSON PHARMACY, INC                    ",523 N STATE OF FRANKLIN RD              ,JOHNSON CITY             ,TN,37604,Johnson City Medical Center,400 N State Of Franklin Rd,Johnson City,TN,37604
,38788530,948364,79%,Moderate,,MANHATTAN ADVANCED CARE                 ,314 E 30TH ST                           ,NEW YORK                 ,NY,10016,Manhattan Hematology Oncology Associates,157 E 32nd St,New York,NY,10016
,38492660,613741,79%,Moderate,,FLORIDA CANCER-VERO BEACH-VBO           ,3730 7TH TER STE 101                    ,VERO BEACH               ,FL,32960,Vero Vascular Surgery PA,"3770 7th Terrance, Ste 102",Vero Beach,FL,32960
